no,repo,select,ask,describe,construct
1,sirmaenterprise-conservation-space-master,199,25,0,0
2,GRIDAPPSD-Powergrid-Models-master,86,0,0,0
3,vivo-project-Vitro-develop,115,8,3,43
4,linkedpipes-etl-master,122,2,0,6
5,WDAqua-SummaServer-master,33,0,0,0
6,RENCI-NRIG-orca5-master,43,0,0,0
7,oeg-upm-map4rdf-master,42,0,0,0
8,digibib-ls_ext-develop,16,2,12,16
9,KnowledgeCaptureAndDiscovery-wings-master,39,0,0,0
10,KnowledgeCaptureAndDiscovery-DataNarratives-master,14,2,0,8
11,rmap-project-rmap-master,9,0,0,0
12,EBISPOT-goci-2_x-stable,45,2,0,0
